date,high_1,height_high_1,low_1,height_low_1,high_2,height_high_2,low_2,height_low_2,moon
2023-01-27,03:35:00,3.7,09:03:00,1.0,15:46:00,3.9,21:43:00,0.9,waxing_cresc
2023-01-28,04:23:00,3.5,09:58:00,1.2,16:38:00,3.7,22:42:00,1.2,first_quarter
2023-01-29,05:20:00,3.3,11:01:00,1.5,17:37:00,3.4,23:45:00,1.4,waxing_gib
2023-01-30,06:23:00,3.2,12:22:00,1.6,18:45:00,3.3,NA,NA,waxing_gib
2023-01-31,07:30:00,3.2,00:53:00,1.5,19:56:00,3.3,13:24:00,1.6,waxing_gib
2023-02-01,08:34:00,3.3,01:58:00,1.5,21:01:00,3.3,14:29:00,1.5,waxing_gib
2023-02-02,09:28:00,3.4,02:54:00,1.4,21:56:00,3.4,15:23:00,1.3,waxing_gib
2023-02-03,10:14:00,3.6,03:40:00,1.3,22:40:00,3.5,16:06:00,1.2,waxing_gib
2023-02-04,10:53:00,3.7,04:18:00,1.2,23:21:00,3.6,16:44:00,1.0,waxing_gib
2023-02-05,11:31:00,3.9,04:53:00,1.1,23:58:00,3.7,17:19:00,0.8,full
2023-02-06,12:06:00,4,05:27:00,1.0,NA,NA,17:52:00,0.7,waning_gib
2023-02-07,00:32:00,3.8,05:59:00,0.9,12:39:00,4.1,18:25:00,0.7,waning_gib
2023-02-08,01:05:00,3.8,06:31:00,0.9,13:11:00,4.1,18:58:00,0.7,waning_gib
2023-02-09,01:38:00,3.7,07:03:00,0.9,13:44:00,4.1,19:32:00,0.7,waning_gib
2023-02-10,02:10:00,3.7,07:37:00,1.0,14:17:00,4.0,20:08:00,0.8,waning_gib
2023-02-11,02:44:00,3.6,08:14:00,1.1,14:53:00,3.9,20:47:00,1.0,waning_gib
2023-02-12,03:22:00,3.5,08:56:00,1.2,15:35:00,3.7,21:34:00,1.2,waning_gib
2023-02-13,04:08:00,3.4,09:48:00,1.3,16:28:00,3.6,22:30:00,1.3,third_quarter
2023-02-14,05:06:00,3.3,10:54:00,1.4,17:36:00,3.4,23:40:00,1.4,waning_cresc
2023-02-15,06:19:00,3.3,12:16:00,1.4,18:59:00,3.4,NA,NA,waning_cresc
2023-02-16,07:39:00,3.4,00:59:00,1.4,20:24:00,3.5,13:39:00,1.3,waning_cresc
2023-02-17,08:53:00,3.7,02:12:00,1.3,21:35:00,3.7,14:49:00,1.0,waning_cresc
2023-02-18,09:55:00,3.9,03:12:00,1.0,22:35:00,3.9,15:46:00,0.6,waning_cresc
2023-02-19,10:51:00,4.2,04:04:00,0.8,23:28:00,4.1,16:36:00,0.4,waning_cresc
2023-02-20,11:41:00,4.4,04:52:00,0.6,NA,NA,17:22:00,0.2,new
2023-02-21,00:15:00,4.2,05:36:00,0.4,12:27:00,4.6,18:06:00,0.1,waxing_cresc
2023-02-22,00:59:00,4.2,06:20:00,0.4,13:11:00,4.5,18:50:00,0.2,waxing_cresc
2023-02-23,01:41:00,4.2,07:03:00,0.5,13:53:00,4.4,19:34:00,0.4,waxing_cresc
2023-02-24,02:20:00,4,07:46:00,0.6,14:33:00,4.2,20:17:00,0.6,waxing_cresc
2023-02-25,02:59:00,3.8,08:31:00,0.9,15:13:00,3.9,21:02:00,1.0,waxing_cresc
2023-02-26,03:39:00,3.6,09:19:00,1.2,15:57:00,3.6,21:53:00,1.3,waxing_cresc
2023-02-27,04:27:00,3.3,10:16:00,1.5,16:51:00,3.3,22:53:00,1.6,first_quarter
2023-02-28,05:25:00,3.2,11:26:00,1.6,18:03:00,3.1,NA,NA,waxing_gib
2023-03-01,06:41:00,3.1,00:08:00,1.7,19:26:00,3.1,12:50:00,1.7,waxing_gib
2023-03-02,07:58:00,3.1,01:26:00,1.8,20:42:00,3.2,14:06:00,1.6,waxing_gib
2023-03-03,09:00:00,3.3,02:31:00,1.6,21:37:00,3.3,15:02:00,1.4,waxing_gib
2023-03-04,09:48:00,3.5,03:18:00,1.5,22:22:00,3.5,15:45:00,1.2,waxing_gib
2023-03-05,10:30:00,3.7,03:57:00,1.3,23:01:00,3.7,16:22:00,0.9,waxing_gib
2023-03-06,11:07:00,3.9,04:31:00,1.1,23:35:00,3.8,16:55:00,0.8,waxing_gib
2023-03-07,11:41:00,4.1,05:02:00,0.9,NA,NA,17:26:00,0.6,full
2023-03-08,00:07:00,3.9,05:33:00,0.8,12:14:00,4.1,17:57:00,0.6,waning_gib
2023-03-09,00:39:00,3.9,06:05:00,0.7,12:47:00,4.2,18:29:00,0.6,waning_gib
2023-03-10,01:11:00,3.9,06:37:00,0.7,13:19:00,4.2,19:01:00,0.6,waning_gib
2023-03-11,01:41:00,3.9,07:10:00,0.8,13:52:00,4.1,19:36:00,0.7,waning_gib
2023-03-12,02:15:00,3.8,07:48:00,0.9,14:29:00,3.9,20:15:00,0.9,waning_gib
2023-03-13,02:51:00,3.6,08:31:00,1.0,15:12:00,3.7,21:02:00,1.2,waning_gib
2023-03-14,03:37:00,3.5,09:26:00,1.2,16:07:00,3.5,22:00:00,1.4,waning_gib
2023-03-15,04:35:00,3.4,10:36:00,1.4,17:19:00,3.3,23:15:00,1.6,third_quarter
2023-03-16,05:53:00,3.3,12:05:00,1.4,18:53:00,3.3,NA,NA,waning_cresc
2023-03-17,07:22:00,3.4,00:44:00,1.6,20:17:00,3.4,13:31:00,1.2,waning_cresc
2023-03-18,08:37:00,3.7,01:59:00,1.4,21:27:00,3.7,14:39:00,0.9,waning_cresc
2023-03-19,09:41:00,4,03:00:00,1.1,22:22:00,3.9,15:33:00,0.6,waning_cresc
2023-03-20,10:34:00,4.2,03:49:00,0.8,23:10:00,4.1,16:19:00,0.3,waning_cresc
2023-03-21,11:22:00,4.4,04:33:00,0.5,23:55:00,4.2,17:02:00,0.2,new
2023-03-22,12:06:00,4.5,05:16:00,0.4,NA,NA,17:43:00,0.1,waxing_cresc
2023-03-23,00:35:00,4.3,05:57:00,0.4,12:47:00,4.5,18:23:00,0.2,waxing_cresc
2023-03-24,01:13:00,4.2,06:38:00,0.4,13:26:00,4.3,19:03:00,0.4,waxing_cresc
2023-03-25,01:48:00,4,07:18:00,0.6,14:03:00,4.1,19:43:00,0.7,waxing_cresc
2023-03-26,03:23:00,3.8,09:00:00,0.9,15:40:00,3.8,21:24:00,1.0,waxing_cresc
2023-03-27,03:59:00,3.6,09:45:00,1.2,16:22:00,3.5,22:10:00,1.4,waxing_cresc
2023-03-28,04:41:00,3.4,10:39:00,1.4,17:14:00,3.2,23:06:00,1.7,waxing_cresc
2023-03-29,05:36:00,3.2,11:48:00,1.6,18:27:00,3.0,NA,NA,first_quarter
2023-03-30,06:51:00,3.1,00:22:00,1.8,19:54:00,3.0,13:13:00,1.7,waxing_gib
2023-03-31,08:13:00,3.1,01:45:00,1.9,21:13:00,3.1,14:33:00,1.6,waxing_gib
2023-04-01,09:21:00,3.3,02:57:00,1.7,22:08:00,3.3,15:30:00,1.4,waxing_gib
2023-04-02,10:12:00,3.5,03:45:00,1.6,22:51:00,3.5,16:13:00,1.1,waxing_gib
2023-04-03,10:55:00,3.7,04:24:00,1.3,23:29:00,3.7,16:48:00,0.9,waxing_gib
2023-04-04,11:33:00,3.9,04:59:00,1.1,NA,NA,17:22:00,0.7,waxing_gib
2023-04-05,00:04:00,3.8,05:31:00,0.9,12:10:00,4.1,17:54:00,0.6,waxing_gib
2023-04-06,00:37:00,3.9,06:04:00,0.8,12:45:00,4.2,18:25:00,0.5,full
2023-04-07,01:09:00,4,06:36:00,0.7,13:19:00,4.2,18:58:00,0.5,waning_gib
2023-04-08,01:42:00,4,07:11:00,0.6,13:55:00,4.2,19:33:00,0.6,waning_gib
2023-04-09,02:16:00,4,07:48:00,0.7,14:32:00,4.0,20:11:00,0.7,waning_gib
2023-04-10,02:52:00,3.9,08:30:00,0.8,15:12:00,3.9,20:52:00,1.0,waning_gib
2023-04-11,03:30:00,3.8,09:18:00,1.0,16:00:00,3.6,21:43:00,1.2,waning_gib
2023-04-12,04:20:00,3.6,10:18:00,1.2,17:01:00,3.4,22:46:00,1.5,waning_gib
2023-04-13,05:23:00,3.5,11:35:00,1.3,18:20:00,3.3,NA,NA,third_quarter
