date,high_1,height_high_1,low_1,height_low_1,high_2,height_high_2,low_2,height_low_2,moon
2022-10-25,12:22:00,4.1,05:35:00,0.4,NA,NA,17:48:00,0.6,new
2022-10-26,00:34:00,4.3,06:11:00,0.4,12:58:00,4.1,18:26:00,0.5,waxing_cresc
2022-10-27,01:13:00,4.3,06:48:00,0.4,13:35:00,4.2,19:06:00,0.5,waxing_cresc
2022-10-28,01:54:00,4.2,07:29:00,0.6,14:14:00,4.1,19:52:00,0.6,waxing_cresc
2022-10-29,02:39:00,4,08:14:00,0.8,14:57:00,4.0,20:43:00,0.7,waxing_cresc
2022-10-30,02:28:00,3.8,08:05:00,1.0,14:45:00,3.8,20:41:00,0.9,waxing_cresc
2022-10-31,03:25:00,3.5,09:04:00,1.3,15:43:00,3.6,21:52:00,1.1,waxing_cresc
2022-11-01,04:38:00,3.3,10:18:00,1.5,16:56:00,3.5,23:15:00,1.2,first_quarter
2022-11-02,06:03:00,3.3,11:42:00,1.6,18:17:00,3.5,NA,NA,waxing_gib
2022-11-03,07:23:00,3.4,00:34:00,1.1,19:34:00,3.6,13:00:00,1.5,waxing_gib
2022-11-04,08:29:00,3.6,01:42:00,1.0,20:35:00,3.8,14:01:00,1.3,waxing_gib
2022-11-05,09:20:00,3.7,02:33:00,0.8,21:29:00,4.0,14:51:00,1.1,waxing_gib
2022-11-06,10:05:00,3.9,03:18:00,0.6,22:13:00,4.1,15:34:00,0.9,waxing_gib
2022-11-07,10:44:00,4,03:57:00,0.5,22:55:00,4.1,16:13:00,0.7,waxing_gib
2022-11-08,11:20:00,4,04:35:00,0.5,23:33:00,4.1,16:51:00,0.7,full
2022-11-09,11:54:00,4,05:10:00,0.6,NA,NA,17:27:00,0.7,waning_gib
2022-11-10,00:09:00,4,05:44:00,0.7,12:26:00,4.0,18:03:00,0.7,waning_gib
2022-11-11,00:44:00,3.9,06:19:00,0.8,12:59:00,3.9,18:41:00,0.9,waning_gib
2022-11-12,01:20:00,3.7,06:55:00,1.0,13:31:00,3.8,19:21:00,1,waning_gib
2022-11-13,01:56:00,3.5,07:33:00,1.3,14:07:00,3.6,20:05:00,1.2,waning_gib
2022-11-14,02:39:00,3.3,08:17:00,1.5,14:48:00,3.5,20:57:00,1.4,waning_gib
2022-11-15,03:31:00,3.1,09:08:00,1.7,15:39:00,3.3,21:59:00,1.5,waning_gib
2022-11-16,04:36:00,3,10:12:00,1.8,16:42:00,3.2,23:08:00,1.5,third_quarter
2022-11-17,05:48:00,3,11:24:00,1.8,17:52:00,3.3,NA,NA,waning_cresc
2022-11-18,06:58:00,3.1,00:17:00,1.4,18:59:00,3.4,12:33:00,1.7,waning_cresc
2022-11-19,07:55:00,3.3,01:14:00,1.3,19:57:00,3.6,13:28:00,1.5,waning_cresc
2022-11-20,08:44:00,3.5,02:02:00,1.1,20:48:00,3.8,14:15:00,1.3,waning_cresc
2022-11-21,09:28:00,3.7,02:44:00,0.9,21:37:00,4.0,14:59:00,1.0,waning_cresc
2022-11-22,10:11:00,3.9,03:25:00,0.7,22:25:00,4.1,15:41:00,0.8,waning_cresc
2022-11-23,10:53:00,4.1,04:06:00,0.5,23:11:00,4.2,16:24:00,0.6,new
2022-11-24,11:35:00,4.2,04:46:00,0.4,23:57:00,4.2,17:08:00,0.4,waxing_cresc
2022-11-25,12:17:00,4.2,05:29:00,0.5,NA,NA,17:54:00,0.4,waxing_cresc
2022-11-26,00:43:00,4.1,06:14:00,0.6,13:01:00,4.2,18:43:00,0.5,waxing_cresc
2022-11-27,01:32:00,4,07:02:00,0.8,13:47:00,4.1,19:37:00,0.6,waxing_cresc
2022-11-28,02:25:00,3.8,07:55:00,1.0,14:39:00,4.0,20:38:00,0.8,waxing_cresc
2022-11-29,03:24:00,3.6,08:56:00,1.2,15:37:00,3.8,21:45:00,0.9,waxing_cresc
2022-11-30,04:31:00,3.4,10:04:00,1.4,16:42:00,3.7,22:57:00,1.0,first_quarter
2022-12-01,05:44:00,3.4,11:17:00,1.5,17:54:00,3.6,NA,NA,waxing_gib
2022-12-02,06:54:00,3.4,00:08:00,1.1,19:02:00,3.6,12:28:00,1.5,waxing_gib
2022-12-03,07:57:00,3.5,01:11:00,1.0,20:05:00,3.7,13:31:00,1.4,waxing_gib
2022-12-04,08:50:00,3.6,02:05:00,0.9,20:59:00,3.8,14:24:00,1.2,waxing_gib
2022-12-05,09:36:00,3.7,02:52:00,0.9,21:47:00,3.8,15:11:00,1.1,waxing_gib
2022-12-06,10:17:00,3.8,03:34:00,0.8,22:30:00,3.8,15:53:00,1.0,waxing_gib
2022-12-07,10:54:00,3.9,04:12:00,0.8,23:09:00,3.8,16:31:00,0.9,waxing_gib
2022-12-08,11:29:00,3.9,04:47:00,0.8,23:48:00,3.8,17:09:00,0.8,full
2022-12-09,12:03:00,3.9,05:23:00,0.9,NA,NA,17:46:00,0.8,waning_gib
2022-12-10,00:25:00,3.7,05:59:00,1.0,12:38:00,3.9,18:25:00,0.9,waning_gib
2022-12-11,01:03:00,3.6,06:36:00,1.1,13:13:00,3.8,19:05:00,1.0,waning_gib
2022-12-12,01:41:00,3.5,07:14:00,1.2,13:49:00,3.7,19:47:00,1.1,waning_gib
2022-12-13,02:22:00,3.4,07:54:00,1.4,14:27:00,3.6,20:31:00,1.2,waning_gib
2022-12-14,03:05:00,3.3,08:37:00,1.5,15:10:00,3.6,21:22:00,1.3,waning_gib
2022-12-15,03:56:00,3.2,09:27:00,1.6,15:59:00,3.5,22:16:00,1.3,waning_gib
2022-12-16,04:52:00,3.1,10:23:00,1.7,16:56:00,3.4,23:15:00,1.3,third_quarter
2022-12-17,05:54:00,3.1,11:27:00,1.7,17:59:00,3.5,NA,NA,waning_cresc
2022-12-18,06:56:00,3.2,00:15:00,1.3,19:02:00,3.5,12:30:00,1.6,waning_cresc
2022-12-19,07:53:00,3.4,01:11:00,1.2,20:05:00,3.7,13:29:00,1.4,waning_cresc
2022-12-20,08:47:00,3.6,02:05:00,1.0,21:03:00,3.8,14:24:00,1.1,waning_cresc
2022-12-21,09:38:00,3.8,02:53:00,0.8,22:00:00,4.0,15:16:00,0.9,waning_cresc
2022-12-22,10:28:00,4,03:42:00,0.7,22:53:00,4.1,16:06:00,0.6,waning_cresc
2022-12-23,11:17:00,4.2,04:28:00,0.6,23:46:00,4.1,16:56:00,0.5,new
2022-12-24,12:05:00,4.3,05:16:00,0.5,NA,NA,17:46:00,0.3,waxing_cresc
2022-12-25,00:37:00,4.1,06:04:00,0.6,12:53:00,4.3,18:37:00,0.3,waxing_cresc
2022-12-26,01:28:00,4,06:53:00,0.7,13:41:00,4.3,19:29:00,0.4,waxing_cresc
2022-12-27,02:19:00,3.9,07:44:00,0.8,14:30:00,4.2,20:25:00,0.6,waxing_cresc
2022-12-28,03:12:00,3.7,08:39:00,1.0,15:22:00,4.0,21:23:00,0.8,waxing_cresc
2022-12-29,04:08:00,3.6,09:36:00,1.2,16:17:00,3.9,22:23:00,0.9,waxing_cresc
2022-12-30,05:06:00,3.4,10:39:00,1.4,17:17:00,3.7,23:27:00,1.1,first_quarter
2022-12-31,06:10:00,3.4,11:46:00,1.4,18:22:00,3.6,NA,NA,waxing_gib
2023-01-01,07:14:00,3.4,00:32:00,1.2,19:27:00,3.5,12:54:00,1.5,waxing_gib
2023-01-02,08:13:00,3.4,01:32:00,1.2,20:27:00,3.5,13:55:00,1.4,waxing_gib
2023-01-03,09:05:00,3.5,02:25:00,1.2,21:22:00,3.5,14:49:00,1.3,waxing_gib
2023-01-04,09:52:00,3.6,03:13:00,1.1,22:10:00,3.6,15:36:00,1.2,waxing_gib
2023-01-05,10:33:00,3.7,03:54:00,1.1,22:54:00,3.6,16:19:00,1.1,waxing_gib
2023-01-06,11:11:00,3.8,04:33:00,1.0,23:34:00,3.7,16:57:00,1.0,full
2023-01-07,11:48:00,3.9,05:09:00,1.0,NA,NA,17:35:00,0.9,waning_gib
2023-01-08,00:13:00,3.7,05:45:00,1.0,12:23:00,3.9,18:12:00,0.8,waning_gib
2023-01-09,00:50:00,3.7,06:19:00,1.0,12:58:00,3.9,18:48:00,0.8,waning_gib
2023-01-10,01:26:00,3.6,06:54:00,1.1,13:32:00,3.9,19:25:00,0.9,waning_gib
2023-01-11,02:01:00,3.6,07:29:00,1.1,14:07:00,3.9,20:03:00,1.0,waning_gib
2023-01-12,02:39:00,3.5,08:07:00,1.2,14:43:00,3.8,20:44:00,1.0,waning_gib
2023-01-13,03:19:00,3.4,08:48:00,1.3,15:24:00,3.7,21:29:00,1.1,waning_gib
2023-01-14,04:03:00,3.3,09:35:00,1.4,16:11:00,3.6,22:19:00,1.2,waning_gib
2023-01-15,04:54:00,3.2,10:29:00,1.5,17:06:00,3.5,23:17:00,1.3,third_quarter
2023-01-16,05:55:00,3.2,11:35:00,1.5,18:14:00,3.5,NA,NA,waning_cresc
2023-01-17,07:03:00,3.3,00:23:00,1.3,19:26:00,3.5,12:47:00,1.4,waning_cresc
2023-01-18,08:10:00,3.5,01:28:00,1.2,20:37:00,3.6,13:56:00,1.2,waning_cresc
2023-01-19,09:12:00,3.7,02:29:00,1.1,21:43:00,3.8,14:58:00,1.0,waning_cresc
2023-01-20,10:10:00,4,03:24:00,0.9,22:43:00,4.0,15:55:00,0.7,waning_cresc
2023-01-21,11:04:00,4.2,04:16:00,0.7,23:38:00,4.1,16:47:00,0.4,new
2023-01-22,11:54:00,4.4,05:04:00,0.6,NA,NA,17:36:00,0.2,waxing_cresc
2023-01-23,00:28:00,4.1,05:51:00,0.5,12:43:00,4.5,18:25:00,0.2,waxing_cresc
2023-01-24,01:18:00,4.1,06:39:00,0.5,13:30:00,4.5,19:13:00,0.2,waxing_cresc
2023-01-25,02:04:00,4,07:26:00,0.6,14:14:00,4.4,20:01:00,0.4,waxing_cresc
2023-01-26,02:49:00,3.9,08:13:00,0.8,14:59:00,4.2,20:51:00,0.6,waxing_cresc
