ID	tag_weight	fix	upload_oct_feb	upload_mar_sep	deploy_datetime	deploy_date	deploy_time	deploy_site	catch_method	bto	code	age	weight	wing	head_bill	bill	tarsus_toe	species
44349	6.13	60	240	60	27/10/2022 13:50	27/10/2022	13:50:00	Dublin-Malahide (The Island GC)	Cannon	FJ56791	APX	4	900	304	196	149	NA	CU
44231	6.13	60	240	60	27/10/2022 14:00	27/10/2022	14:00:00	Dublin-Malahide (The Island GC)	Cannon	FJ56792	AUA	4	741	306	157	112	NA	CU
44763	6.04	60	240	60	27/10/2022 14:00	27/10/2022	14:00:00	Dublin-Malahide (The Island GC)	Cannon	FJ56793	AUC	4	698	302	149	109	NA	CU
44919	6.05	60	240	60	27/10/2022 14:00	27/10/2022	14:00:00	Dublin-Malahide (The Island GC)	Cannon	FJ56795	AUH	4	695	305	147	104	NA	CU
44956	5.87	60	240	60	27/10/2022 14:00	27/10/2022	14:00:00	Dublin-Malahide (The Island GC)	Cannon	FJ56794	AUE	4	810	314	184	140	NA	CU
44673	6.01	60	240	60	27/10/2022 14:15	27/10/2022	14:15:00	Dublin-Malahide (The Island GC)	Cannon	FJ56799	AUU	3	694	297	157	114	NA	CU
44705	6.15	60	240	60	27/10/2022 14:15	27/10/2022	14:15:00	Dublin-Malahide (The Island GC)	Cannon	FJ56796	AUN	4	920	315	199	155	NA	CU
44775	6.07	60	240	60	27/10/2022 14:15	27/10/2022	14:15:00	Dublin-Malahide (The Island GC)	Cannon	FJ56797	AUP	4	780	299	179	133	NA	CU
44875	5.94	60	240	60	27/10/2022 14:15	27/10/2022	14:15:00	Dublin-Malahide (The Island GC)	Cannon	FJ56798	AUT	4	840	312	184	137	NA	CU
44257	6.07	60	240	60	27/10/2022 14:30	27/10/2022	14:30:00	Dublin-Malahide (The Island GC)	Cannon	FJ56800	AUV	4	839	270	187	137	NA	CU
44290	5.97	60	240	60	27/10/2022 14:30	27/10/2022	14:30:00	Dublin-Malahide (The Island GC)	Cannon	FJ56801	AUX	4	866	303	178	131	NA	CU
44316	6.13	60	240	60	27/10/2022 14:30	27/10/2022	14:30:00	Dublin-Malahide (The Island GC)	Cannon	FJ56802	AVA	4	810	303	180	136	NA	CU
45036	6.14	60	240	60	27/10/2022 14:45	27/10/2022	14:45:00	Dublin-Malahide (The Island GC)	Cannon	FJ56804	AVE	4	754	299	162	114	NA	CU
45260	6.11	60	240	60	27/10/2022 14:45	27/10/2022	14:45:00	Dublin-Malahide (The Island GC)	Cannon	FJ56803	AVC	4	728	286	172	124	NA	CU
43784	6.04	60	240	60	08/12/2022 11:30	08/12/2022	11:30:00	Dublin-Baldoyle (Portmarnock GC)	Cannon	FJ56812	AVU	4	873	310	NA	141	NA	CU
43868	6.14	60	240	60	08/12/2022 11:30	08/12/2022	11:30:00	Dublin-Baldoyle (Portmarnock GC)	Cannon	FJ56814	ANU	4	876	314	NA	142	NA	CU
44042	5.96	60	240	60	08/12/2022 11:30	08/12/2022	11:30:00	Dublin-Baldoyle (Portmarnock GC)	Cannon	FJ56819	AXV	4	915	328	NA	135	NA	CU
44161	6.08	60	240	60	08/12/2022 11:30	08/12/2022	11:30:00	Dublin-Baldoyle (Portmarnock GC)	Cannon	FJ56823	EAP	4	892	314	NA	123	NA	CU
44205	6.03	60	240	60	08/12/2022 11:30	08/12/2022	11:30:00	Dublin-Baldoyle (Portmarnock GC)	Cannon	FJ56821	AXX	4	933	322	NA	141	NA	CU
44275	6.01	60	240	60	08/12/2022 11:30	08/12/2022	11:30:00	Dublin-Baldoyle (Portmarnock GC)	Cannon	FJ56816	AXN	4	903	312	NA	140	NA	CU
44595	5.91	60	240	60	08/12/2022 11:30	08/12/2022	11:30:00	Dublin-Baldoyle (Portmarnock GC)	Cannon	FJ56817	AXP	3	715	290	NA	135	NA	CU
44601	6.01	60	240	60	08/12/2022 11:30	08/12/2022	11:30:00	Dublin-Baldoyle (Portmarnock GC)	Cannon	FJ56810	AVV	4	915	310	NA	154	NA	CU
44663	6.12	60	240	60	08/12/2022 11:30	08/12/2022	11:30:00	Dublin-Baldoyle (Portmarnock GC)	Cannon	FJ56811	ANT	4	900	322	NA	139	NA	CU
44717	6.08	60	240	60	08/12/2022 11:30	08/12/2022	11:30:00	Dublin-Baldoyle (Portmarnock GC)	Cannon	FJ56824	EAT	4	1080	322	NA	154	NA	CU
44758	6.06	60	240	60	08/12/2022 11:30	08/12/2022	11:30:00	Dublin-Baldoyle (Portmarnock GC)	Cannon	FJ56822	EAH	4	855	314	NA	145	NA	CU
44925	5.93	60	240	60	08/12/2022 11:30	08/12/2022	11:30:00	Dublin-Baldoyle (Portmarnock GC)	Cannon	FJ56815	AXH	4	750	299	NA	120	NA	CU
