ID	tag_weight	fix	upload_oct_feb	upload_mar_sep	deploy_datetime	deploy_date	deploy_time	deploy_site	catch_method	bto	code	age	weight	wing	head_bill	bill	tarsus_toe	species
216281	10	120	1440	1440	21/01/2022 14:49	21/01/2022	14:49:00	Dublin-Baldoyle (Portmarnock GC)	Cannon	FJ56664	TNU	8	638	267	NA	75.8	NA	OC
216285	10	120	1440	1440	21/01/2022 14:41	21/01/2022	14:41:00	Dublin-Baldoyle (Portmarnock GC)	Cannon	FJ56668	TPC	8	607	278	NA	86.4	NA	OC
216303	10	120	1440	1440	21/01/2022 14:58	21/01/2022	14:58:00	Dublin-Baldoyle (Portmarnock GC)	Cannon	FJ56669	TPE	8	623	270	NA	86.7	NA	OC
216296	10	120	1440	1440	18/01/2022 12:42	18/01/2022	12:42:00	Dublin-Rogerstown (Mouth)	Cannon	FJ56499	EUV	8	530	275	NA	69.6	NA	OC
216326	10	120	1440	1440	18/01/2022 13:14	18/01/2022	13:14:00	Dublin-Rogerstown (Mouth)	Cannon	FJ65015	EVX	8	606	277	NA	78.4	NA	OC
216310	10	120	1440	1440	18/01/2022 13:24	18/01/2022	13:24:00	Dublin-Rogerstown (Mouth)	Cannon	FJ65016	EXA	8	500	275	NA	67.7	NA	OC
216288	10	120	1440	1440	18/01/2022 00:00	18/01/2022		Dublin-Rogerstown (Mouth)	Cannon	FJ65017	EXC	8	598	268	NA	78.8	NA	OC
216298	10	120	1440	1440	18/01/2022 00:00	18/01/2022		Dublin-Rogerstown (Mouth)	Cannon	FJ65031	EXP	8	557	261	NA	74.6	NA	OC
216300	10	120	1440	1440	18/01/2022 14:01	18/01/2022	14:01:00	Dublin-Rogerstown (Mouth)	Cannon	FJ65032	EXT	8	534	261	NA	69.6	NA	OC
216315	10	120	1440	1440	18/01/2022 14:11	18/01/2022	14:11:00	Dublin-Rogerstown (Mouth)	Cannon	FJ65033	EXU	8	592	269	NA	73.1	NA	OC
216302	10	120	1440	1440	18/01/2022 13:43	18/01/2022	13:43:00	Dublin-Rogerstown (Mouth)	Cannon	FJ65034	EXV	8	552	263	NA	74.8	NA	OC
216316	10	120	1440	1440	18/01/2022 14:08	18/01/2022	14:08:00	Dublin-Rogerstown (Mouth)	Cannon	FJ65035	EXX	8	639	278	NA	87.5	NA	OC
216306	10	120	1440	1440	18/01/2022 00:00	18/01/2022		Dublin-Rogerstown (Mouth)	Cannon	FJ65036	NHE	8	635	270	NA	85.5	NA	OC
216321	10	120	1440	1440	18/01/2022 13:57	18/01/2022	13:57:00	Dublin-Rogerstown (Mouth)	Cannon	FJ65037	NHH	8	571	271	NA	86	NA	OC
216282	10	120	1440	1440	18/01/2022 14:20	18/01/2022	14:20:00	Dublin-Rogerstown (Mouth)	Cannon	FJ65047	NNH	8	547	272	NA	89.1	NA	OC
216309	10	120	1440	1440	18/01/2022 14:20	18/01/2022	14:20:00	Dublin-Rogerstown (Mouth)	Cannon	FJ65049	NNP	8	658	273	NA	88.5	NA	OC
216308	10	120	1440	1440	18/01/2022 12:45	18/01/2022	12:45:00	Dublin-Rogerstown (Mouth)	Cannon	FJ65057	EVN	8	581	269	NA	89.1	NA	OC
216292	10	120	1440	1440	18/01/2022 00:00	18/01/2022		Dublin-Rogerstown (Mouth)	Cannon	FJ65061	NNU	8	620	269	NA	80.5	NA	OC
216317	10	120	1440	1440	18/01/2022 14:23	18/01/2022	14:23:00	Dublin-Rogerstown (Mouth)	Cannon	FJ65064	NPA	8	612	269	NA	74	NA	OC
44273	4.31	60	240	240	18/12/2021 22:30	18/12/2021	22:30:00	Dublin-Rogerstown (South hide)	Mist	DT83520	HAH	4	167.9	167	72.6	41.7	87	RK
44227	4.29	60	240	240	18/12/2021 22:49	18/12/2021	22:49:00	Dublin-Rogerstown (South hide)	Mist	DT83522	HAP	3	153.7	164	73	43.7	84	RK
44333	4.27	60	240	240	18/12/2021 23:02	18/12/2021	23:02:00	Dublin-Rogerstown (South hide)	Mist	DT83523	HAT	3	163.6	169	75.8	43.2	87	RK
44210	4.29	60	240	240	18/12/2021 23:06	18/12/2021	23:06:00	Dublin-Rogerstown (South hide)	Mist	DT83525	HCE	3	144.7	167	75.1	42.5	86	RK
44328	4.33	60	240	240	18/12/2021 23:26	18/12/2021	23:26:00	Dublin-Rogerstown (South hide)	Mist	DT83527	HCU	4	153.5	167	72	45.5	89	RK
43990	4.24	60	240	240	18/12/2021 23:26	18/12/2021	23:26:00	Dublin-Rogerstown (South hide)	Mist	DT83528	HEA	4	142.2	169	76.1	43.4	79	RK
44265	4.26	60	240	240	19/12/2021 12:15	19/12/2021	12:15:00	Dublin-Baldoyle (Red Arches)	Cannon	DT83526	HEE	4	160	168	87	45	83	RK
44204	4.22	60	240	240	19/12/2021 12:25	19/12/2021	12:25:00	Dublin-Baldoyle (Red Arches)	Cannon	DT83530	HEN	4	156.2	169	76.1	46.4	80	RK
44233	4.24	60	240	240	19/12/2021 12:30	19/12/2021	12:30:00	Dublin-Baldoyle (Red Arches)	Cannon	DT83531	HEU	4	169.3	178	74	48.5	83	RK
44202	4.26	60	240	240	20/01/2022 12:15	20/01/2022	12:15:00	Dublin-Malahide (The Island GC)	Cannon	DT83544	NEP	6	180	175	75.7	40.8	87	RK
44331	4.25	60	240	240	20/01/2022 12:30	20/01/2022	12:30:00	Dublin-Malahide (The Island GC)	Cannon	DT83547	NET	6	172.3	179	73.7	37.9	82	RK
44288	4.32	60	240	240	20/01/2022 12:40	20/01/2022	12:40:00	Dublin-Malahide (The Island GC)	Cannon	DT83550	NHE	6	165.7	178	79	42.8	85	RK
44361	4.29	60	240	240	20/01/2022 13:00	20/01/2022	13:00:00	Dublin-Malahide (The Island GC)	Cannon	DT83553	NHH	6	165	181	75	42.2	87	RK
44310	4.34	60	240	240	20/01/2022 12:50	20/01/2022	12:50:00	Dublin-Malahide (The Island GC)	Cannon	DT83556	NHT	6	161	176	72.6	39	84	RK
44232	4.29	60	240	240	20/01/2022 13:20	20/01/2022	13:20:00	Dublin-Malahide (The Island GC)	Cannon	DT83562	NNE	6	162.5	174	74.4	39.6	88	RK
44362	4.29	60	240	240	20/01/2022 13:05	20/01/2022	13:05:00	Dublin-Malahide (The Island GC)	Cannon	DT83564	NNH	6	181.5	179	76.3	43.4	86	RK
44335	4.27	60	240	240	20/01/2022 13:30	20/01/2022	13:30:00	Dublin-Malahide (The Island GC)	Cannon	DT83574	NPP	6	164.6	179	79.4	43.7	88	RK
44322	4.39	60	240	240	20/01/2022 13:40	20/01/2022	13:40:00	Dublin-Malahide (The Island GC)	Cannon	DT83578	NPV	6	169.5	175	78.6	44.2	89	RK
44354	4.3	60	240	240	20/01/2022 13:50	20/01/2022	13:50:00	Dublin-Malahide (The Island GC)	Cannon	DT83585	NTU	6	159	172	73	39	81	RK
44266	4.39	60	240	240	20/01/2022 14:00	20/01/2022	14:00:00	Dublin-Malahide (The Island GC)	Cannon	DT83589	NUE	6	163.6	185	79.1	43.5	88	RK
